Description|Price|Rating|ReviewCount|Url
Description|Price|Rating|ReviewCount|Url
Apple iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi+4G (Space Grey)|₹44,900|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-64-gb-rom-10-2-inch-wi-fi-4g-space-grey/p/itm8f3cd9f225075?pid=TABG6VNCUTVM3RBS&lid=LSTTABG6VNCUTVM3RBSHMGMNK&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_10&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNCUTVM3RBS.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Space Grey)|₹45,248|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-4g-space-grey/p/itmd0d53d1913685?pid=TABFETM4SNG794AK&lid=LSTTABFETM4SNG794AKKXNQY7&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_11&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM4SNG794AK.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Silver)|₹45,248|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-4g-silver/p/itm343da3d7cad80?pid=TABFETM4W7GCKPVH&lid=LSTTABFETM4W7GCKPVHX4F1D4&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_12&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM4W7GCKPVH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Gold)|₹45,248|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-4g-gold/p/itm8b9f15c0ff622?pid=TABFETM4ZKKW9YHZ&lid=LSTTABFETM4ZKKW9YHZGY70GH&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_13&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM4ZKKW9YHZ.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi Only (Space Grey)|₹46,999|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-256-gb-rom-10-2-inch-wi-fi-only-space-grey/p/itmfcb9ebe4ee891?pid=TABG6VNC2EH87NFH&lid=LSTTABG6VNC2EH87NFHUWOHGD&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_14&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNC2EH87NFH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Space Grey)|₹48,206|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-256-gb-rom-7-9-inch-wi-fi-only-space-grey/p/itm631712a839aa2?pid=TABFETM42GF28ZKH&lid=LSTTABFETM42GF28ZKHJV1EFY&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_15&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM42GF28ZKH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Gold)|₹48,206|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-256-gb-rom-7-9-inch-wi-fi-only-gold/p/itm85af5a2bdb726?pid=TABFETM4AJVDED86&lid=LSTTABFETM4AJVDED86NHJRDO&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_16&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM4AJVDED86.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Silver)|₹48,206|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-256-gb-rom-7-9-inch-wi-fi-only-silver/p/itmc471bfb7b4a08?pid=TABFETM4NCUHEKVM&lid=LSTTABFETM4NCUHEKVM5EPQHV&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_17&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFETM4NCUHEKVM.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi Only (Purple)|₹48,399|4.6|939 Ratings & 93 Reviews|https://www.flipkart.com/apple-ipad-mini-6th-gen-64-gb-rom-8-3-inch-wi-fi-only-purple/p/itm0f0b4cabc4d84?pid=TABG6VNRE7YFQ6PP&lid=LSTTABG6VNRE7YFQ6PP2S2WGR&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_18&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNRE7YFQ6PP.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi Only (Space Grey)|₹48,399|4.6|939 Ratings & 93 Reviews|https://www.flipkart.com/apple-ipad-mini-6th-gen-64-gb-rom-8-3-inch-wi-fi-only-space-grey/p/itm2c4c4897a6e3e?pid=TABG6VNR9CFMJHZP&lid=LSTTABG6VNR9CFMJHZPSFAIDV&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_19&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNR9CFMJHZP.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
